person,n00007846
mulligatawny,n07586318
potage,n07587023
chowder,n07587441
goulash,n07590320
hot_pot,n07590611
matelote,n07591813
ragout,n07592656
salmi,n07592922
pot-au-feu,n07593004
slumgullion,n07593107
ready-mix,n07593774
cake_mix,n07594066
confiture,n07597145
sweetmeat,n07597263
candy,n07597365
hardbake,n07598622
barley-sugar,n07598928
jawbreaker,n07599161
bonbon,n07599649
butterscotch,n07600394
candy_corn,n07601686
caramel,n07601809
fondant,n07605380
penuche,n07605804
cachou,n07607832
nougat,n07608339
praline,n07608866
rock_candy,n07608980
sugarplum,n07609316
taffy,n07609407
flan,n07611267
mousse,n07611991
pudding,n07617188
tiramisu,n07613266
trifle,n07613480
ice,n07614198
ice_cream,n07614500
ice-cream_cone,n07614730
chocolate_ice_cream,n07614825
sherbert,n07615289
strawberry_ice_cream,n07615460
tutti-frutti,n07615569
ice_lolly,n07615774
parfait,n07616386
tapioca,n07619881
zabaglione,n07621497
pastry,n07623136
pirogi,n07624924
samosa,n07625061
phyllo,n07628068
ice-cream_cake,n07631926
fish_cake,n07641928
fish_stick,n07642361
conserve,n07642471
apple_butter,n07642742
jam,n07642933
strawberry_jam,n07643200
mince,n07650903
saute,n07655263
patty,n07663899
margarine,n07672914
bread,n07679356
bap,n07680313
barmbrack,n07680416
breadstick,n07680517
grissino,n07680655
bun,n07680932
cracker,n07681926
crouton,n07682197
dark_bread,n07682316
bannock,n07683360
chapatti,n07683490
pita,n07683617
loaf_of_bread,n07683786
French_loaf,n07684084
quick_bread,n07684600
date_bread,n07685031
limpa,n07686202
toast,n07686873
wafer,n07687053
white_bread,n07687211
baguet,n07687381
French_bread,n07687469
Italian_bread,n07687626
cornbread,n07687789
ashcake,n07688265
johnnycake,n07689003
spoon_bread,n07689313
muffin,n07690273
bran_muffin,n07690431
popover,n07690739
scone,n07690892
cross_bun,n07691237
brioche,n07691539
hard_roll,n07691758
bialy,n07692517
sweet_roll,n07692614
bagel,n07693725
shortcake,n07694659
hardtack,n07694839
saltine,n07695187
pretzel,n07695742
ham_sandwich,n07696625
chicken_sandwich,n07696728
club_sandwich,n07696839
open-face_sandwich,n07696977
hamburger,n07697100
cheeseburger,n07697313
hotdog,n07697537
gyro,n07698250
western,n07698672
spaghetti,n07700003
gruel,n07704054
congee,n07704205
skilly,n07704305
vegetable,n07707451
french_fries,n07711080
mashed_potato,n07711569
corn_chip,n07712748
nacho,n07712959
mustard,n07713763
bok_choy,n07714448
head_cabbage,n07714571
broccoli,n07714990
cauliflower,n07715103
brussels_sprouts,n07715221
zucchini,n07716358
spaghetti_squash,n07716906
acorn_squash,n07717410
butternut_squash,n07717556
cucumber,n07718472
artichoke,n07718747
asparagus,n07719213
chard,n07720277
bell_pepper,n07720875
pimento,n07721195
jalapeno,n07721678
green_onion,n07722485
leek,n07723039
shallot,n07723177
lettuce,n07723559
crisphead_lettuce,n07724269
green_pea,n07725531
chickpea,n07726095
kidney_bean,n07727048
haricot_vert,n07728585
soy,n07729485
cardoon,n07730033
celery,n07730406
corn,n12144580
hominy,n07732302
cress,n07732747
tomato,n07734017
cherry_tomato,n07734292
mushroom,n12997919
stuffed_mushroom,n07734879
parsnip,n07735404
pumpkin,n07735510
turnip,n07735803
spinach,n07736692
peanut,n11748811
apple,n12633994
crab_apple,n07739344
cooking_apple,n07742012
Granny_Smith,n07742313
berry,n07742704
blueberry,n07743544
cranberry,n07743902
currant,n07744246
blackberry,n07744811
raspberry,n07745466
strawberry,n07745940
persimmon,n07746186
orange,n12708293
sweet_orange,n12710693
kumquat,n07749446
lemon,n07749582
grapefruit,n07749969
plum,n07751451
fig,n12401684
pineapple,n07753275
anchovy_pear,n07753448
banana,n07753592
jackfruit,n07754684
cherry,n07757132
grape,n07758680
custard_apple,n07760859
pond_apple,n11695285
durian,n07762913
mango,n07764155
avocado,n07764847
elderberry,n07765208
guava,n12333771
litchi,n07766173
mulberry,n07767171
black_olive,n07767549
pear,n12651611
bartlett,n07768230
pomegranate,n07768694
quince,n07769584
rambutan,n07769731
pumpkin_seed,n07770763
walnut,n07771212
cashew,n07772147
hazelnut,n07772788
coconut,n12587803
pecan,n07774719
pistachio,n07775050
sunflower_seed,n07775197
rollmops,n07785487
eatage,n07801091
oil_cake,n07801508
hay,n07802026
stover,n07802246
grain,n07802417
groats,n07802863
barley,n07803093
wheat,n12142085
rice,n07804323
petfood,n07805731
dog_food,n07805966
salad,n07806221
fruit_salad,n07807922
chicken_salad,n07808479
coleslaw,n07808587
aspic,n07808675
tabbouleh,n07808904
flavorer,n07809368
condiment,n07810907
herb,n07811416
clove,n07814487
bay_leaf,n07816296
garlic,n07818277
sage,n07820497
catsup,n07822197
chutney,n07823105
salsa,n07823460
curry,n07823951
marinade,n07824502
cider_vinegar,n07829248
sauce,n07829412
carbonara,n07831146
pesto,n07832416
ravigote,n07832592
mayonnaise,n07834507
aioli,n07834774
barbecue_sauce,n07835331
bordelaise,n07835823
blanc,n07836600
cheese_sauce,n07836731
chocolate_sauce,n07836838
demiglace,n07837755
gravy,n07838073
marinara,n07838441
veloute,n07840027
egg,n07840804
egg_white,n07841037
egg_yolk,n07841345
deviled_egg,n07842433
omelet,n07842753
souffle,n07843464
milk,n07844042
buttermilk,n07847047
double_creme,n07847585
butter,n07848338
ghee,n07848936
yogurt,n07849336
raita,n07849619
cheese,n07850329
cream_cheese,n07851298
double_cream,n07851443
cottage_cheese,n07851767
process_cheese,n07851926
bleu,n07852045
gorgonzola,n07852376
brick_cheese,n07852712
hand_cheese,n07853852
mozzarella,n07854184
ricotta,n07854614
sapsago,n07855188
spread,n07856270
miso,n07857170
hummus,n07857731
pate,n07857959
honey,n07858978
sugar,n07859284
syrup,n07859583
grenadine,n07860331
dough,n07860988
chicken_and_rice,n07861813
pasta,n07863374
cannelloni,n07863547
chili,n07864934
coquille,n07865700
croquette,n07866015
dolmas,n07866409
egg_roll,n07866723
falafel,n07867164
fish_and_chips,n07867324
fondue,n07867421
galantine,n07868830
ham_and_eggs,n07869291
jambalaya,n07869611
kedgeree,n07869937
macedoine,n07871335
meatball,n07871436
meat_loaf,n07871810
moussaka,n07872593
pizza,n07873807
porridge,n07874780
oatmeal,n07874995
loblolly,n07875086
potpie,n07875152
fish_loaf,n07875693
salmon_loaf,n07875835
sauerkraut,n07876189
stuffed_peppers,n07878647
stuffed_tomato,n07878926
succotash,n07879072
sukiyaki,n07879174
sushi,n07879450
teriyaki,n07880080
terrine,n07880213
schnitzel,n07880458
burrito,n07880968
quesadilla,n07881205
tostada,n07881404
beverage,n07881800
lekvar,n07883156
hooch,n07886176
brew,n07886572
beer,n07886849
bock,n07887461
light_beer,n07887967
Weissbier,n07888465
ale,n07889510
hydromel,n07890970
near_beer,n07891189
wine,n07891726
vintage,n07892418
red_wine,n07892512
white_wine,n07892813
blush_wine,n07893253
altar_wine,n07893425
champagne,n07893642
cold_duck,n07893792
retsina,n07897116
straw_wine,n07898617
vermouth,n07899108
generic,n07899976
varietal,n07900225
malmsey,n07900734
port,n07900825
aquavit,n07902799
arrack,n07902937
brandy,n07903208
grappa,n07903962
kirsch,n07904072
slivovitz,n07904293
gin,n07904395
ouzo,n07904934
schnapps,n07905474
pulque,n07905618
whiskey,n07906284
firewater,n07907037
liqueur,n07907943
absinth,n07908411
anisette,n07908647
Grand_Marnier,n07910152
kummel,n07910245
maraschino,n07910379
sambuca,n07911249
cocktail,n07911677
highball,n07912211
bullshot,n07913644
daiquiri,n07914413
julep,n07915491
martini,n07916041
sidecar,n07917392
espresso,n07920052
cappuccino,n07920349
scrumpy,n07921834
cocoa,n07922764
juice,n07923748
orange_juice,n07924834
fruit_drink,n07925966
lemonade,n07926250
limeade,n07926346
orangeade,n07926442
pop,n07927512
coffee_bean,n07929351
coffee,n12662772
punch,n07930554
wassail,n07931280
May_wine,n07931870
eggnog,n07932039
tea,n07933274
cuppa,n07933799
tisane,n07934032
sun_tea,n07934373
souchong,n07935043
hyson,n07935288
water,n07935504
spring_water,n07936015
ice_water,n07936459
seltzer,n07936979
ramekin,n07937621
people,n07942152
crowd,n08182379
concert_band,n08249459
amusement_park,n08494231
bush,n08505018
bus_stop,n08517676
campsite,n08518171
grassland,n08598301
outdoors,n08613733
resort,n08640531
resort_area,n08640739
bedside,n08649711
alp,n09193705
beach,n09217230
bubble,n09229709
burrow,n09230041
cave,n09238926
cliff,n09246464
cloud,n09247410
coral_reef,n09256479
descent,n09265620
dune,n09270735
geyser,n09288635
glacier,n09289331
hill,n09303008
iceberg,n09308572
ice_floe,n09309168
lakeside,n09332890
ledge,n09337253
lunar_crater,n09344324
mesa,n09351905
mountain,n09359803
ocean,n09376198
ocean_floor,n09376526
plain,n09393605
promontory,n09399592
range,n09403734
ridge,n09409752
rift_valley,n09410224
riverbed,n09415671
rock,n14696793
sandbar,n09421951
seashore,n09428293
sinkhole,n09435739
ski_slope,n09436444
sky,n09436708
slope,n09437454
sun,n09450163
tableland,n09453008
valley,n09468604
volcano,n09472597
ballplayer,n09835506
basketball_player,n09842047
bleacher,n09859684
bride,n09874725
child,n09918248
diver,n10019406
fan,n10077593
female_child,n10084295
groom,n10148035
jockey,n10223177
musician,n10340312
player,n10439851
referee,n10514429
scuba_diver,n10565667
singer,n10599806
son,n10624074
student,n10665698
teacher,n10694258
wave,n11524451
pine,n11608250
Rocky_mountain_pinon,n11610047
pitch_pine,n11611356
pond_pine,n11611561
stone_pine,n11611758
western_white_pine,n11613459
shore_pine,n11615026
longleaf_pine,n11615967
scrub_pine,n11616852
lowland_fir,n11622368
big-cone_spruce,n11629047
juniper_berry,n11636835
norfolk_island_pine,n11646344
Japanese_umbrella_pine,n11660300
ginkgo,n11664418
flower,n11669921
wildflower,n11672400
ilang-ilang,n11695974
mayapple,n11700058
laurel,n11703669
true_laurel,n11704093
star_anise,n11709205
magnolia,n11709674
southern_magnolia,n11710136
umbrella_tree,n11710393
saucer_magnolia,n11711289
tulip_tree,n11712282
lesser_celandine,n11721337
wood_anemone,n11725821
blue_columbine,n11727540
delphinium,n11733054
nigella,n11736694
wattle,n11756669
huisache,n11757851
silk_tree,n11759404
rain_tree,n11759853
conacaste,n11761202
dita,n11770256
alocasia,n11782036
calla_lily,n11793779
sandwort,n11805956
pink,n11807979
china_pink,n11808721
baby's_breath,n11810358
soapwort,n11814584
ice_plant,n11821184
globe_amaranth,n11826198
four_o'clock,n11839568
rose_moss,n11857875
Virginia_spring_beauty,n11859737
rapeseed,n11879895
wallflower,n11887119
damask_violet,n11888800
candytuft,n11889619
Iceland_poppy,n11901294
prickly_poppy,n11901597
oriental_poppy,n11901977
celandine,n11903671
corydalis,n11904109
blue_poppy,n11906917
Welsh_poppy,n11907100
celandine_poppy,n11908846
pearly_everlasting,n11921395
yellow_chamomile,n11923397
daisy,n11939491
common_marigold,n11943660
China_aster,n11943992
cornflower,n11947802
chrysanthemum,n11950345
mistflower,n11955896
cosmos,n11958080
dahlia,n11960245
coneflower,n11962272
blue_daisy,n11969607
gazania,n11971248
treasure_flower,n11971406
African_daisy,n11971783
sunflower,n11978233
common_sunflower,n11978713
giant_sunflower,n11978961
Jerusalem_artichoke,n11979715
strawflower,n11980318
dusty_miller,n12023407
tansy,n12023726
samara,n12036226
male_orchis,n12043673
butterfly_orchid,n12043836
aerides,n12044467
brassavola,n12047345
spider_orchid,n12075151
grass_pink,n12049282
calypso,n12049562
cattleya,n12050533
red_helleborine,n12051103
coelogyne,n12052787
cymbid,n12055516
lady's_slipper,n12056217
yellow_lady's_slipper,n12057211
large_yellow_lady's_slipper,n12057447
marsh_orchid,n12058630
dendrobium,n12059314
disa,n12059625
helleborine,n12062468
fragrant_orchid,n12064389
fringed_orchis,n12065316
bog_rein_orchid,n12066018
snowy_orchid,n12067672
lizard_orchid,n12069679
laelia,n12070016
masdevallia,n12072722
odontoglossum,n12073991
oncidium,n12074408
bee_orchid,n12074867
fly_orchid,n12075010
phaius,n12076223
moth_orchid,n12076577
ladies'_tresses,n12083591
stanhopea,n12084890
stelis,n12085267
vanda,n12086012
cyclamen,n12093329
grass,n12102133
timothy,n12130549
bluegrass,n12131405
bluestem,n12133682
pandanus,n12154773
gourd,n12158031
okra,n12172364
baobab,n12189987
kapok,n12190410
red_beech,n12199790
cacao,n12201580
linden,n12202936
sorrel_tree,n12242409
American_beech,n12261808
New_Zealand_beech,n12266796
acorn,n12267677
live_oak,n12269241
shingle_oak,n12272883
California_white_oak,n12273939
myrtle_oak,n12275888
pin_oak,n12276872
cork_oak,n12278650
yellow_birch,n12281788
American_white_birch,n12281974
downy_birch,n12282737
black_birch,n12282933
alder,n12284262
centaury,n12290748
gentian,n12293723
olive,n12301445
fringe_tree,n12302071
European_ash,n12304703
black_ash,n12305089
iron_tree,n12317296
snow_gum,n12336727
mangrove,n12345899
begonia,n12360108
paper_mulberry,n12403994
witch_elm,n12407079
Dutch_elm,n12407222
cabbage_tree,n12478768
golden_shower_tree,n12492106
honey_locust,n12495895
Kentucky_coffee_tree,n12496427
logwood,n12496949
Judas_tree,n12513613
redbud,n12513933
Brazilian_rosewood,n12523475
coral_tree,n12527738
lentil,n12544539
pea,n12560282
Japanese_pagoda_tree,n12570394
kowhai,n12570972
palm,n12582231
fan_palm,n12583126
date_palm,n12593994
lady_palm,n12595964
thatch_palm,n12597798
commelina,n12606438
hip,n12620546
fruit_tree,n12651821
mountain_ash,n12658118
Arabian_coffee,n12663023
scabious,n12683407
elephant_tree,n12691428
temple_orange,n12710917
fraxinella,n12712626
cork_tree,n12713866
ailanthus,n12717072
weeping_willow,n12726670
pussy_willow,n12727101
goat_willow,n12727518
Eastern_cottonwood,n12732966
China_tree,n12741792
strawberry_bush,n12749852
silver_maple,n12753007
Oregon_maple,n12754003
dwarf_maple,n12754174
hedge_maple,n12754648
sycamore,n12754981
box_elder,n12755225
Japanese_maple,n12755727
holly,n12756457
pepper_tree,n12765115
buckeye,n12768682
balata,n12774299
forget-me-not,n12822115
achimenes,n12830222
African_violet,n12833149
streptocarpus,n12833985
scorpionweed,n12836862
calceolaria,n12879527
toadflax,n12884260
veronica,n12890265
large_white_petunia,n12909614
teak,n12916511
poinsettia,n12920204
dogwood,n12946849
dead-man's-fingers,n12966945
Phytophthora_infestans,n12983048
truffle,n12985420
coral_fungus,n12985857
lichen,n12987056
beard_lichen,n12989938
reindeer_moss,n12991184
agaric,n12998815
shiitake,n13001930
gill_fungus,n13011595
straw_mushroom,n13020191
morel,n13032115
gyromitra,n13037406
stinkhorn,n13040303
puffball,n13043926
earthstar,n13044778
polypore,n13049953
bracket_fungus,n13050397
hen-of-the-woods,n13052670
bolete,n13054560
jelly_fungus,n13060190
covered_smut,n13066448
flag_smut_fungus,n13068917
wheat_flag_smut,n13069224
mold,n13077033
tree,n13104059
bonsai,n13111881
ear,n13133613
fruit,n13134947
seed,n13135832
bean,n13136316
nut,n13136556
drupe,n13138308
place,n13926786
micronutrient,n14582716
gravel,n14698884
soil,n14844693
sand,n15019030
toilet_tissue,n15075141
biotin,n15092650
